rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		3846							",https://boardgamegeek.com/boardgame/10908/minotaur-lords,10908,2,2,30,30,30,2004,5.99702,5.69741,559,//cf.geekdo-images.com/images/pic257512.jpg,12,Area Control / Area Influence* Hand Management* Variable Player Powers,1160,Card Game* Fantasy* Fighting,2.0822
"		3829							",https://boardgamegeek.com/boardgame/20266/bitter-end-attack-budapest-1945,20266,1,2,240,240,240,2005,7.34496,5.69733,115,//cf.geekdo-images.com/images/pic278997.jpg,12,Dice Rolling* Hex-and-Counter* Simulation,378,Wargame* World War II,3
"		3851							",https://boardgamegeek.com/boardgame/91671/da-ist-der-wurm-drin,91671,2,4,20,15,20,2011,6.39773,5.69726,260,//cf.geekdo-images.com/images/pic1121031.jpg,4,Betting/Wagering* Dice Rolling,420,Animals* Children's Game* Dice* Racing,1
"		3830							",https://boardgamegeek.com/boardgame/5171/war-without-mercy,5171,2,6,360,360,360,1998,7.045,5.69723,140,//cf.geekdo-images.com/images/pic900234.jpg,12,Hex-and-Counter* Simulation,446,Wargame* World War II,3.5833
"		3831							",https://boardgamegeek.com/boardgame/4522/maskenball-der-kafer,4522,2,6,30,20,30,2002,6.55186,5.69722,210,//cf.geekdo-images.com/images/pic2607516.jpg,4,Co-operative Play* Pattern Recognition,364,Animals* Children's Game* Puzzle,1.0625
"		3833							",https://boardgamegeek.com/boardgame/2860/piecepack,2860,0,0,10,10,10,2001,7.09936,5.69708,137,//cf.geekdo-images.com/images/pic119215.jpg,5,none,422,Game System,2.4
"		3834							",https://boardgamegeek.com/boardgame/40258/buffalo-wings,40258,2,2,180,180,180,2010,7.95505,5.69702,99,//cf.geekdo-images.com/images/pic727380.jpg,0,Dice Rolling* Hex-and-Counter* Simulation,382,Aviation / Flight* Wargame* World War II,2.65
"		3835							",https://boardgamegeek.com/boardgame/118703/20th-century-limited,118703,2,5,60,30,60,2015,6.90364,5.69692,151,//cf.geekdo-images.com/images/pic2431819.jpg,14,Route/Network Building,261,Card Game* Economic* Trains* Transportation,2.6875
"		3837							",https://boardgamegeek.com/boardgame/158812/shadow-throne,158812,3,5,30,30,30,2014,6.76309,5.69688,178,//cf.geekdo-images.com/images/pic2273615.png,14,Card Drafting* Hand Management* Simultaneous Action Selection,268,Card Game* Medieval,1.8182
"		3841							",https://boardgamegeek.com/boardgame/27574/island-fortress,27574,2,4,90,90,90,2013,6.65766,5.69671,209,//cf.geekdo-images.com/images/pic1342730.jpg,13,Auction/Bidding* Pattern Building,603,Card Game,2.9231
"		3893							",https://boardgamegeek.com/boardgame/178896/last-blitzkrieg,178896,2,4,960,180,960,2016,8.88732,5.69656,71,//cf.geekdo-images.com/images/pic3387407.jpg,13,Dice Rolling* Hex-and-Counter* Simulation,349,Wargame* World War II,3.6667
"		3838							",https://boardgamegeek.com/boardgame/8284/assault-tactical-combat-europe-1985,8284,2,2,180,180,180,1983,6.72045,5.69655,198,//cf.geekdo-images.com/images/pic432415.jpg,12,Hex-and-Counter* Secret Unit Deployment,603,Modern Warfare* Wargame,3.4
"		3840							",https://boardgamegeek.com/boardgame/142924/maydaymayday,142924,5,8,25,25,25,2013,6.53564,5.69654,227,//cf.geekdo-images.com/images/pic2243928.jpg,10,Partnerships* Simultaneous Action Selection* Voting,389,Aviation / Flight* Bluffing* Deduction,2
